Código ,Nombre,Código ,Nombre,Código ,Nombre,,LATITUD,LONGITUD
05,ANTIOQUIA,05045,APARTADÓ,05045010,BAJO DEL OSO,CP,7.9100590999999998,-76.625299987000005
05,ANTIOQUIA,05045,APARTADÓ,05045011,EL SALVADOR,CP,7.8783342469999997,-76.648605422000003
05,ANTIOQUIA,05045,APARTADÓ,05045014,PUERTO GIRÓN,CP,7.9051662690000004,-76.737182813999993
05,ANTIOQUIA,05045,APARTADÓ,05045015,LOMA VERDE,CP,7.8239863060000001,-76.643607247000006
05,ANTIOQUIA,05045,APARTADÓ,05045016,SAN PABLO,CP,7.8978652619999998,-76.714701972
05,ANTIOQUIA,05051,ARBOLETES,05051000,ARBOLETES,CM,8.8496370080000002,-76.426659470000004
05,ANTIOQUIA,05051,ARBOLETES,05051001,BUENOS AIRES,CP,8.6112457960000004,-76.282647518999994
05,ANTIOQUIA,05051,ARBOLETES,05051003,EL CARMELO,CP,8.6162057579999995,-76.381827568999995
05,ANTIOQUIA,05051,ARBOLETES,05051005,LAS NARANJITAS,CP,8.5292877350000005,-76.333452737000002
05,ANTIOQUIA,05051,ARBOLETES,05051008,EL YESO,CP,8.6162791649999999,-76.475696362999997
05,ANTIOQUIA,05051,ARBOLETES,05051009,LA TRINIDAD,CP,8.6254913139999996,-76.51026143
05,ANTIOQUIA,05051,ARBOLETES,05051010,LAS PLATAS (SANTAFÉ),CP,8.5815173260000002,-76.440511677999993
05,ANTIOQUIA,05051,ARBOLETES,05051011,LA CANDELARIA,CP,8.6576877579999998,-76.450310324
05,ANTIOQUIA,05051,ARBOLETES,05051014,EL GUADUAL,CP,8.4867776300000006,-76.384496909000006
05,ANTIOQUIA,05055,ARGELIA,05055000,ARGELIA,CM,5.730671879,-75.141741456999995
05,ANTIOQUIA,05059,ARMENIA,05059000,ARMENIA,CM,6.1558885710000002,-75.787072046000006
05,ANTIOQUIA,05059,ARMENIA,05059001,LA HERRADURA,CP,6.1466913669999999,-75.806586964999994
05,ANTIOQUIA,05059,ARMENIA,05059003,EL SOCORRO,CP,6.1461763500000002,-75.785122056000006
05,ANTIOQUIA,05059,ARMENIA,05059006,FILO SECO,CP,6.1426164290000003,-75.811939335999995
05,ANTIOQUIA,05059,ARMENIA,05059009,PALMICHAL,CP,6.1595319230000003,-75.806715378000007
05,ANTIOQUIA,05079,BARBOSA,05079000,BARBOSA,CM,6.4392000930000002,-75.331616892
05,ANTIOQUIA,05079,BARBOSA,05079001,HATILLO,CP,6.4101725930000004,-75.392108210999993
05,ANTIOQUIA,05079,BARBOSA,05079005,PLATANITO,CP,6.4051806579999999,-75.406863724999994
05,ANTIOQUIA,05079,BARBOSA,05079008,ISAZA,CP,6.4201677080000001,-75.362101430999999
05,ANTIOQUIA,05079,BARBOSA,05079014,POPALITO,CP,6.4728497870000004,-75.284274667999995
05,ANTIOQUIA,05079,BARBOSA,05079016,YARUMITO,CP,6.4574573490000002,-75.303733859999994
05,ANTIOQUIA,05079,BARBOSA,05079017,TABLAZO - HATILLO,CP,6.4188648769999999,-75.413305182000002
05,ANTIOQUIA,05079,BARBOSA,05079018,EL PARAISO,CP,6.4131421089999998,-75.414865829999997
05,ANTIOQUIA,05079,BARBOSA,05079019,EL SALADITO,CP,6.4073484040000004,-75.401844893000003
05,ANTIOQUIA,05079,BARBOSA,05079020,LOMITA 1,CP,6.4182500039999999,-75.406985941000002
05,ANTIOQUIA,05079,BARBOSA,05079021,LOMITA 2,CP,6.4157276510000001,-75.407773035999995
05,ANTIOQUIA,05079,BARBOSA,05079022,LA PRIMAVERA,CP,6.413749234,-75.406363931000001
05,ANTIOQUIA,05079,BARBOSA,05079023,TAMBORCITO,CP,6.4516229650000003,-75.311817249000001
05,ANTIOQUIA,05086,BELMIRA,05086000,BELMIRA,CM,6.606319386,-75.667779280999994
05,ANTIOQUIA,05086,BELMIRA,05086001,LABORES,CP,6.7097080570000003,-75.612503376000006
05,ANTIOQUIA,05086,BELMIRA,05086003,RÍO ARRIBA,CP,6.6133558109999999,-75.672022154000004
05,ANTIOQUIA,05088,BELLO,05088000,BELLO,CM,6.3339923330000003,-75.554810574000001
05,ANTIOQUIA,05088,BELLO,05088008,POTRERITO,CP,6.3312888550000004,-75.581125267999994
05,ANTIOQUIA,05088,BELLO,05088013,SAN FÉLIX,CP,6.3404339460000001,-75.608548210999999
05,ANTIOQUIA,05088,BELLO,05088018,EL PINAR,CP,6.3010930959999998,-75.530091906999999
05,ANTIOQUIA,05088,BELLO,05088020,EL ALBERGUE,CP,6.3070618639999996,-75.536463893000004
05,ANTIOQUIA,05088,BELLO,05088022,LA CHINA,CP,6.3981277739999998,-75.614713631000001
05,ANTIOQUIA,05088,BELLO,05088023,LA UNIÓN,CP,6.3824303540000002,-75.621225221000003
05,ANTIOQUIA,05091,BETANIA,05091000,BETANIA,CM,5.7447345480000003,-75.975655251000006
05,ANTIOQUIA,05091,BETANIA,05091003,SAN LUIS,CP,5.7535003680000001,-75.986423314999996
05,ANTIOQUIA,05093,BETULIA,05093000,BETULIA,CM,6.1152076639999997,-75.984452140000002
05,ANTIOQUIA,05093,BETULIA,05093001,ALTAMIRA,CP,6.2196204469999996,-75.949285114000006
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,05101000,CIUDAD BOLÍVAR,CM,5.8502732330000002,-76.021509205000001
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,05101002,SAN BERNARDO DE LOS FARALLONES,CP,5.7999837769999996,-76.029313939000005
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,05101006,ALFONSO LÓPEZ (SAN GREGORIO),CP,5.8956143409999999,-75.957060553999995
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,05101008,VILLA ALEGRÍA,CP,5.7833210800000003,-76.013669532999998
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,05101010,EL CABRERO - BOLÍVAR ARRIBA,CP,5.8659828269999998,-76.035652956000007
